Date,US - SPX,SPX,SPX resampleM ma50,SPX resampleM ma100,SPX resampleM ma200
2008-04-30,1385.5899658203125,1385.5899658203125,1347.5254028320312,1377.04919921875,1433.9699505615235
2008-05-31,1400.3800048828125,1400.3800048828125,1379.1015991210938,1362.8610986328124,1425.1910998535157
2008-06-30,1280.0,1280.0,1374.7488012695312,1357.8114038085937,1412.8746008300782
2008-07-31,1267.3800048828125,1267.3800048828125,1311.2654052734374,1339.2133032226564,1382.4229510498046
2008-08-31,1282.8299560546875,1282.8299560546875,1273.716396484375,1327.8626977539063,1358.4865991210938
2008-09-30,1166.3599853515625,1166.3599853515625,1251.7419921875,1293.2417993164063,1332.438649291992
2008-10-31,968.75,968.75,1110.712401123047,1196.1733001708983,1278.7003005981446
2008-11-30,896.239990234375,896.239990234375,971.833602294922,1116.097398071289,1234.4932510375977
2008-12-31,903.25,903.25,887.2640014648438,1031.8916986083984,1184.579500427246
2009-01-31,825.8800048828125,825.8800048828125,866.5832006835938,949.3605010986328,1136.5048495483395
2009-02-28,735.0900268554688,735.0900268554688,846.8128002929687,876.0281005859375,1080.5333001708984
2009-03-31,797.8699951171875,797.8699951171875,789.7681994628906,833.7969995117187,1011.3458996582032
2009-04-30,872.8099975585938,872.8099975585938,795.7251977539063,830.0418981933594,965.2940975952148
2009-05-31,919.1400146484376,919.1400146484376,861.7811975097657,832.6772985839843,928.6061990356444
2009-06-30,919.3200073242188,919.3200073242188,905.8720007324218,848.4796990966797,890.8437496948242
2009-07-31,987.47998046875,987.47998046875,927.3458020019532,886.0666986083984,871.165
2009-08-31,1020.6199951171876,1020.6199951171876,963.3415979003906,930.6202990722657,879.7338989257812
2009-09-30,1057.0799560546875,1057.0799560546875,1019.2123986816406,967.0588000488282,899.138899230957
2009-10-31,1036.18994140625,1036.18994140625,1052.2509973144531,1000.683797607422,918.9445486450196
2009-11-30,1095.6300048828125,1095.6300048828125,1074.46,1036.1612994384766,943.8220993041992
2009-12-31,1115.0999755859375,1115.0999755859375,1094.3778002929687,1067.924498901367,984.3488488769532
2010-01-31,1073.8699951171875,1073.8699951171875,1113.8480004882813,1089.4951000976562,1013.0755996704102
2010-02-28,1104.489990234375,1104.489990234375,1108.6477978515625,1096.6531982421875,1033.0433489990237
2010-03-31,1169.4300537109375,1169.4300537109375,1119.6457958984374,1115.9410974121097,1059.912297668457
2010-04-30,1186.68994140625,1186.68994140625,1165.3041943359376,1136.8715954589843,1090.5429473876952
2010-05-31,1089.4100341796875,1089.4100341796875,1163.2144018554689,1139.1457971191403,1104.8818981933591
2010-06-30,1030.7099609375,1030.7099609375,1118.9531958007813,1132.5088952636718,1112.1225970458984
2010-07-31,1101.5999755859375,1101.5999755859375,1081.5437951660156,1127.5837969970703,1114.3900985717771
2010-08-31,1049.3299560546875,1049.3299560546875,1081.6079992675782,1109.5665997314454,1115.8061972045898
2010-09-30,1141.199951171875,1141.199951171875,1104.3673999023438,1095.544898071289,1117.840647277832
2010-10-31,1183.260009765625,1183.260009765625,1132.4657958984376,1110.9203985595702,1122.5521475219728
2010-11-30,1180.550048828125,1180.550048828125,1178.0653955078126,1136.5322973632813,1133.7318466186523
2010-12-31,1257.6400146484375,1257.6400146484375,1215.4861938476563,1167.0754956054689,1146.239697570801
2011-01-31,1286.1199951171875,1286.1199951171875,1249.9395971679687,1208.4395971679687,1156.2899978637697
2011-02-28,1327.219970703125,1327.219970703125,1290.9805981445313,1244.0306958007814,1169.583396911621
2011-03-31,1325.8299560546875,1325.8299560546875,1308.1737939453126,1272.2419946289062,1194.2057467651366
2011-04-30,1363.6099853515625,1363.6099853515625,1317.855400390625,1298.2502990722655,1219.9397479248046
2011-05-31,1345.199951171875,1345.199951171875,1330.6297998046875,1316.7278967285156,1244.733196411133
2011-06-30,1320.6400146484375,1320.6400146484375,1317.0969970703125,1316.10759765625,1267.1077972412108
2011-07-31,1292.280029296875,1292.280029296875,1309.140400390625,1316.6301013183593,1284.8427478027345
2011-08-31,1218.8900146484375,1218.8900146484375,1256.1926025390626,1288.2556005859376,1283.8951483154297
2011-09-30,1131.4200439453125,1131.4200439453125,1196.5144067382812,1253.981402587891,1280.1218505859374
2011-10-31,1253.300048828125,1253.300048828125,1188.8946020507813,1230.2175024414062,1274.0466003417969
2011-11-30,1246.9599609375,1246.9599609375,1206.4042065429687,1214.90150390625,1265.8869512939452
2011-12-31,1257.5999755859375,1257.5999755859375,1237.326999511719,1206.3675024414065,1258.8213012695312
2012-01-31,1312.4100341796875,1312.4100341796875,1257.7860034179687,1231.3680041503906,1257.185302124023
2012-02-29,1365.6800537109375,1365.6800537109375,1310.52720703125,1269.1013024902345,1258.23490234375
2012-03-31,1408.469970703125,1408.469970703125,1362.9060034179688,1305.1852026367187,1267.0736529541016
2012-04-30,1397.9100341796875,1397.9100341796875,1384.152194824219,1337.170098876953,1275.064351196289
2012-05-31,1310.3299560546875,1310.3299560546875,1369.5135913085935,1357.4793957519532,1284.1060998535156
2012-06-30,1362.1600341796875,1362.1600341796875,1340.21099609375,1359.5686962890625,1299.578150024414
2012-07-31,1379.3199462890625,1379.3199462890625,1337.8904052734374,1359.783798828125,1319.6834503173827
2012-08-31,1406.5799560546875,1406.5799560546875,1376.527802734375,1361.2539990234377,1338.0179998779297
2012-09-30,1440.6700439453125,1440.6700439453125,1412.085400390625,1372.5865014648436,1359.0327001953126
2012-10-31,1412.1600341796875,1412.1600341796875,1434.2681958007813,1397.7506005859375,1377.7249493408203
2012-11-30,1416.1800537109375,1416.1800537109375,1421.5998022460938,1409.2424011230469,1384.7426989746093
2012-12-31,1426.18994140625,1426.18994140625,1411.4931958007812,1421.0335986328123,1390.3754486083983
2013-01-31,1498.1099853515625,1498.1099853515625,1443.1236010742186,1436.2951000976564,1399.027299194336
2013-02-28,1514.6800537109375,1514.6800537109375,1482.0446020507814,1448.5659997558594,1411.464600830078
2013-03-31,1569.18994140625,1569.18994140625,1523.6657934570312,1471.4167980957031,1435.0933489990234
2013-04-30,1597.5699462890625,1597.5699462890625,1552.96798828125,1510.2344946289063,1460.4063983154297
2013-05-31,1630.739990234375,1630.739990234375,1599.64359375,1556.2063952636718,1489.8095471191407
2013-06-30,1606.280029296875,1606.280029296875,1621.7178051757812,1582.3776977539062,1510.441649169922
2013-07-31,1685.72998046875,1685.72998046875,1646.0900024414063,1615.1478955078126,1534.441196899414
2013-08-31,1632.969970703125,1632.969970703125,1660.5841967773438,1639.415799560547,1562.1786981201171
2013-09-30,1681.550048828125,1681.550048828125,1679.966201171875,1659.7752026367189,1590.778348388672
2013-10-31,1756.5400390625,1756.5400390625,1696.3580053710937,1677.168702392578,1622.375499267578
2013-11-30,1805.81005859375,1805.81005859375,1742.1068090820313,1710.0608032226562,1650.2399993896483
2013-12-31,1848.3599853515625,1848.3599853515625,1788.911201171875,1734.7080029296876,1679.2789001464844
2014-01-31,1782.5899658203125,1782.5899658203125,1812.4177954101565,1769.328602294922,1706.4404510498048
2014-02-28,1859.449951171875,1859.449951171875,1820.937595214844,1792.29830078125,1727.104501953125
2014-03-31,1872.3399658203125,1872.3399658203125,1834.5760009765625,1820.31669921875,1750.1461511230468
2014-04-30,1883.949951171875,1883.949951171875,1860.798603515625,1836.5108984375,1775.0416015625
2014-05-31,1923.5699462890625,1923.5699462890625,1874.55580078125,1852.716600341797,1795.7876513671874
2014-06-30,1960.22998046875,1960.22998046875,1911.4899975585936,1881.3240002441407,1826.2872509765623
