Date,US - SPX,SPX,SPX ma50,SPX ma100,SPX ma200
2026-02-25,6946.1298828125,6946.1298828125,6896.992783203125,6828.301181640625,6548.508083496094
2026-02-26,6908.85986328125,6908.85986328125,6898.62177734375,6830.236279296875,6554.75283203125
2026-02-27,6878.8798828125,6878.8798828125,6899.8691796875,6831.867177734375,6559.926281738281
2026-03-02,6881.6201171875,6881.6201171875,6901.49638671875,6833.280581054688,6564.901633300781
2026-03-03,6816.6298828125,6816.6298828125,6903.400380859375,6834.300981445313,6569.5218823242185
2026-03-04,6869.5,6869.5,6905.295185546875,6835.458779296875,6574.284731445313
2026-03-05,6830.7099609375,6830.7099609375,6905.219384765625,6836.414780273438,6578.646381835937
2026-03-06,6740.02001953125,6740.02001953125,6902.44998046875,6838.2898828125,6582.5284814453125
2026-03-09,6795.990234375,6795.990234375,6900.173984375,6839.702583007813,6586.8061328125
2026-03-10,6781.47998046875,6781.47998046875,6897.162587890625,6841.074282226563,6591.490483398437
2026-03-11,6775.7998046875,6775.7998046875,6894.07978515625,6842.1216796875,6596.15943359375
2026-03-12,6672.6201171875,6672.6201171875,6889.4173828125,6842.557182617187,6600.508435058594
2026-03-13,6632.18994140625,6632.18994140625,6884.136376953125,6842.238984375,6604.0616845703125
2026-03-16,6699.3798828125,6699.3798828125,6881.213974609375,6841.881484375,6608.115834960938
2026-03-17,6716.08984375,6716.08984375,6878.3663671875,6841.6888818359375,6612.135434570312
2026-03-18,6624.7001953125,6624.7001953125,6872.819375,6840.941884765625,6615.700485839844
2026-03-19,6606.490234375,6606.490234375,6866.052783203125,6839.622387695313,6619.053237304687
2026-03-20,6506.47998046875,6506.47998046875,6857.763779296875,6836.770288085938,6621.733786621094
2026-03-23,6581.0,6581.0,6850.954580078125,6833.828686523438,6624.784736328125
2026-03-24,6556.3701171875,6556.3701171875,6842.75638671875,6830.483486328125,6627.870087890625
2026-03-25,6591.89990234375,6591.89990234375,6835.048984375,6827.496586914062,6630.827788085938
2026-03-26,6477.16015625,6477.16015625,6825.3173828125,6824.044790039063,6633.184189453125
2026-03-27,6368.85009765625,6368.85009765625,6814.1623828125,6819.3312890625,6634.8343896484375
2026-03-30,6343.72021484375,6343.72021484375,6802.1473828125,6814.2487890625,6636.441789550781
2026-03-31,6528.52001953125,6528.52001953125,6793.917587890625,6811.818491210937,6638.858090820312
2026-04-01,6575.31982421875,6575.31982421875,6789.486787109375,6809.6087890625,6641.849838867188
2026-04-02,6582.68994140625,6582.68994140625,6783.62818359375,6808.232490234375,6644.5977392578125
2026-04-06,6611.830078125,6611.830078125,6777.597783203125,6807.06279296875,6647.743288574219
2026-04-07,6616.85009765625,6616.85009765625,6771.622587890625,6804.9069921875,6650.923188476562
2026-04-08,6782.81005859375,6782.81005859375,6768.274189453125,6804.268994140625,6654.998039550781
